config_id,prefill_gpus,prefill_tp,decode_gpus,decode_tp,prefill_num_gpu_blocks,decode_num_gpu_blocks,block_size_tokens,prefill_max_num_batched_tokens,prefill_max_num_seqs,decode_max_num_batched_tokens,decode_max_num_seqs,chunked_prefill,kv_transfer_mode,kv_transfer_bw_gb_s,kv_transfer_latency_ms,kv_transfer_concurrency,prefill_replicas,decode_replicas,total_gpus,arrival_rate_rps,sustainable,completion_ratio,worst_completion_ratio,sla_success_ratio,ttft_p50_ms,ttft_p99_ms,tpot_p50_ms,tpot_p99_ms,e2e_p99_ms,output_throughput_tokens_per_s,goodput_tokens_per_s,goodput_tokens_per_s_per_gpu,prefill_utilization,decode_utilization,transfer_utilization,prefill_peak_kv_utilization,decode_peak_kv_utilization,transfer_queue_mean_ms,transfer_queue_p99_ms,prefill_extrapolated_batch_ratio,decode_extrapolated_batch_ratio,estimated_bottleneck
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps16_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,16,4096,32,True,pcie,12.5,0.1,1,1,2,12,0.5,True,1.0,1.0,1.0,195.54016666667303,319.0838900568674,27.50562506561718,29.33846640419976,3959.104638824089,62.22112493941478,62.22112493941478,5.1850937449512315,0.07572813264761678,0.6528358245518874,0.0050263002490120836,0.0043368268883267076,0.008447777376219733,0.01723333333332751,0.0,0.0,0.7202270845715217,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps16_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,16,4096,32,True,pcie,12.5,0.1,1,1,2,12,1.0,True,1.0,1.0,1.0,197.49044566517964,364.05344523933917,25.271042125984167,29.338466404199693,3921.540135164654,123.27160131016905,123.27160131016905,10.272633442514087,0.14989895135467232,0.8763189704252298,0.00995803404333706,0.0043368268883267076,0.011926273942898446,0.06893333333331005,3.4466666666655024,0.0,0.447737668629339,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps16_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,16,4096,32,True,pcie,12.5,0.1,1,1,2,12,2.0,True,1.0,1.0,0.9633333333333333,201.7397680603483,612.9718094841566,24.895101968503933,28.13692950393718,3892.767799807378,242.53130960598529,233.58671725306786,19.465559771088987,0.29301625338091025,0.9716281583439917,0.019591982354108434,0.010119262739428984,0.01707625587278641,0.6548666666665365,17.23333333332995,0.0,0.16255158551733365,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps16_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,16,4096,32,True,pcie,12.5,0.1,1,1,2,12,3.0,True,1.0,1.0,0.9333333333333332,204.66997348506325,780.1564098514868,25.092808792650903,27.494501889763736,4145.431481620067,358.1188993756591,334.24225445366193,27.85352120447183,0.4299442148831581,0.979585429708997,0.02892929234018986,0.013010480664980123,0.021458258041199857,1.2752666666665144,24.16113333332879,0.0,0.06967424071824724,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps16_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,16,4096,32,True,pcie,12.5,0.1,1,1,2,12,3.5,True,1.0,1.0,0.9033333333333333,209.57648008712172,901.2960356433199,25.266891207349044,27.04499040157482,4242.155679736924,414.50963412757824,374.5577109912004,31.21314258260003,0.49483184602459646,0.985046559649149,0.03348460638186832,0.014456089627755691,0.023129743404409108,1.8956666666665292,27.607799999997955,0.0,0.026795899190879418,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps16_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,16,4096,32,True,pcie,12.5,0.1,1,1,2,12,3.75,False,1.0,1.0,0.8833333333333333,213.04764601224633,926.7238626835336,25.366670209973773,28.21313507086609,4486.369598913931,442.3247688676383,390.8603279728011,32.571693997733426,0.5263849372525302,0.9880173544441863,0.03573154773508879,0.01590169859053126,0.030222262378026745,2.3092666666665043,27.607800000000356,0.0,0.029344866970848604,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps16_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,16,4096,32,True,pcie,12.5,0.1,1,1,2,12,4.0,False,1.0,1.0,0.8616666666666667,234.03784526704644,954.999962008585,25.47156102362204,28.26717268503947,4409.321483735869,469.9729519781852,405.110667316822,33.759222276401836,0.5576006128924135,0.9875512455302214,0.03796500252698765,0.01734730755330683,0.028324900614383808,2.567766666666557,27.607800000000356,0.0,0.03170142738022911,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps16_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,16,4096,32,True,pcie,12.5,0.1,1,1,2,12,8.0,False,1.0,1.0,0.04666666666666667,2415.470442584897,3816.6376892592616,28.888855511811034,30.984483937007862,7538.457906741852,807.7834068905353,37.57159685927359,3.130966404939466,0.8756897569739839,0.9868330492004446,0.06525375333787584,0.023129743404409108,0.04029634983736899,31.69210000000044,72.38000000000102,0.0,0.02359313910641403,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps16_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,16,4096,32,True,pcie,12.5,0.1,1,1,2,12,12.0,False,1.0,1.0,0.011666666666666667,6263.707078080875,10989.937237995922,29.228915223097204,32.075443737532844,14567.50960994068,820.1806196355606,9.57015629137004,0.7975130242808367,0.8840427544431012,0.9853480175448976,0.0662552156799349,0.023129743404409108,0.03894109143476689,34.311566666667126,72.38000000000102,0.0,0.017282293790216643,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps16_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,16,4096,32,True,pcie,12.5,0.1,1,1,2,12,16.0,False,1.0,1.0,0.011666666666666665,8288.303075609881,15163.95126026769,29.017495144356985,31.543283671916054,18656.032422575383,820.3180409080629,9.577970046972194,0.7981641705810162,0.8826646463277479,0.9794541418231507,0.06626631674210424,0.023129743404409108,0.03826346223346585,35.13876666666715,72.38000000000102,0.0,0.023089615062779553,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds16_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,8,4096,16,True,pcie,12.5,0.1,1,1,2,12,0.5,True,1.0,1.0,1.0,195.54016666667303,319.0838900568674,27.50562506561718,29.33846640419976,3959.104638824089,62.22112493941478,62.22112493941478,5.1850937449512315,0.07572813264761678,0.6528358245518874,0.0050263002490120836,0.0043368268883267076,0.008447777376219733,0.01723333333332751,0.0,0.0,0.7202270845715217,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds16_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,8,4096,16,True,pcie,12.5,0.1,1,1,2,12,1.0,True,1.0,1.0,1.0,197.49044566517964,364.05344523933917,25.271042125984167,29.338466404199693,3921.540135164654,123.27160131016905,123.27160131016905,10.272633442514087,0.14989895135467232,0.8763189704252298,0.00995803404333706,0.0043368268883267076,0.011926273942898446,0.06893333333331005,3.4466666666655024,0.0,0.447737668629339,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds16_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,8,4096,16,True,pcie,12.5,0.1,1,1,2,12,2.0,True,1.0,1.0,0.9633333333333333,201.7397680603483,612.9718094841566,24.895101968503933,28.13692950393718,3892.767799807378,242.53130960598529,233.58671725306786,19.465559771088987,0.29301625338091025,0.9716281583439917,0.019591982354108434,0.010119262739428984,0.01707625587278641,0.6548666666665365,17.23333333332995,0.0,0.16255158551733365,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds16_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,8,4096,16,True,pcie,12.5,0.1,1,1,2,12,3.0,True,1.0,1.0,0.9333333333333332,204.66997348506325,780.1564098514868,25.092808792650903,27.494501889763736,4145.431481620067,358.1188993756591,334.24225445366193,27.85352120447183,0.4299442148831581,0.979585429708997,0.02892929234018986,0.013010480664980123,0.021458258041199857,1.2752666666665144,24.16113333332879,0.0,0.06967424071824724,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds16_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,8,4096,16,True,pcie,12.5,0.1,1,1,2,12,3.5,True,1.0,1.0,0.9033333333333333,209.57648008712172,901.2960356433199,25.266891207349044,27.04499040157482,4242.155679736924,414.50963412757824,374.5577109912004,31.21314258260003,0.49483184602459646,0.985046559649149,0.03348460638186832,0.014456089627755691,0.023129743404409108,1.8956666666665292,27.607799999997955,0.0,0.026795899190879418,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds16_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,8,4096,16,True,pcie,12.5,0.1,1,1,2,12,3.75,False,1.0,1.0,0.8850000000000001,213.81110906277232,926.7238626835336,25.3839713910761,28.159038094488135,4481.7588655805985,442.2333505037488,391.51628286405463,32.626356905337886,0.5262762445637569,0.9882499804697565,0.035724162845380845,0.01590169859053126,0.02724069389230213,2.3092666666665043,27.607800000000356,0.0,0.03769313092266409,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds16_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,8,4096,16,True,pcie,12.5,0.1,1,1,2,12,4.0,False,1.0,1.0,0.8616666666666667,233.83732754756525,954.999962008585,25.485296719160175,28.225339351706143,4406.774083735869,470.02760331354267,405.1549348984616,33.76291124153847,0.5576653371045549,0.9880356717365429,0.037969417330172,0.01734730755330683,0.026834116371521503,2.567766666666557,27.607800000000356,0.0,0.03469829501007149,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds16_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,8,4096,16,True,pcie,12.5,0.1,1,1,2,12,8.0,False,1.0,1.0,0.04666666666666667,2419.649296239095,3821.214626311319,28.859125853018426,29.2134758897638,7468.3237302229245,809.4198015263446,37.641230428280046,3.1367692023566707,0.8774633245500135,0.9880047323101805,0.0653859433420498,0.023129743404409108,0.027331044452475604,31.69210000000044,72.38000000000102,0.0,0.019639929417850224,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds16_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,8,4096,16,True,pcie,12.5,0.1,1,1,2,12,12.0,False,1.0,1.0,0.011666666666666667,6258.775666417673,10994.258573284596,28.97115853018367,29.28636612335949,14507.83429590487,818.9052599282053,9.550628614584424,0.7958857178820353,0.8826676658032407,0.9848159108294544,0.06615219052857511,0.023129743404409108,0.02778279725334297,34.311566666667126,72.38000000000102,0.0,0.020872270538809762,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds16_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,8,4096,16,True,pcie,12.5,0.1,1,1,2,12,16.0,False,1.0,1.0,0.011666666666666665,8290.214670316314,15184.748041994862,29.072162073490812,29.241271509186333,18647.520351478175,819.1518841357183,9.551958508653959,0.7959965423878299,0.8814094917842249,0.983997751462411,0.06617211314033827,0.023129743404409108,0.02778279725334297,35.13876666666715,72.38000000000102,0.0,0.029179688848839255,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,1,2,12,0.5,True,1.0,1.0,1.0,195.54016666667303,319.0838900568674,27.50562506561718,29.33846640419976,3959.104638824089,62.22112493941478,62.22112493941478,5.1850937449512315,0.07572813264761678,0.6528358245518874,0.0050263002490120836,0.0043368268883267076,0.008447777376219733,0.01723333333332751,0.0,0.0,0.7202270845715217,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,1,2,12,1.0,True,1.0,1.0,1.0,197.49044566517964,364.05344523933917,25.271042125984167,29.338466404199693,3921.540135164654,123.27160131016905,123.27160131016905,10.272633442514087,0.14989895135467232,0.8763189704252298,0.00995803404333706,0.0043368268883267076,0.011926273942898446,0.06893333333331005,3.4466666666655024,0.0,0.447737668629339,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,1,2,12,2.0,True,1.0,1.0,0.9633333333333333,201.7397680603483,612.9718094841566,24.895101968503933,28.13692950393718,3892.767799807378,242.53130960598529,233.58671725306786,19.465559771088987,0.29301625338091025,0.9716281583439917,0.019591982354108434,0.010119262739428984,0.01707625587278641,0.6548666666665365,17.23333333332995,0.0,0.16255158551733365,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,1,2,12,3.0,True,1.0,1.0,0.9333333333333332,204.66997348506325,780.1564098514868,25.092808792650903,27.494501889763736,4145.431481620067,358.1188993756591,334.24225445366193,27.85352120447183,0.4299442148831581,0.979585429708997,0.02892929234018986,0.013010480664980123,0.021458258041199857,1.2752666666665144,24.16113333332879,0.0,0.06967424071824724,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,1,2,12,3.5,True,1.0,1.0,0.9033333333333333,209.57648008712172,901.2960356433199,25.266891207349044,27.04499040157482,4242.155679736924,414.50963412757824,374.5577109912004,31.21314258260003,0.49483184602459646,0.985046559649149,0.03348460638186832,0.014456089627755691,0.023129743404409108,1.8956666666665292,27.607799999997955,0.0,0.026795899190879418,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,1,2,12,3.75,False,1.0,1.0,0.8833333333333333,213.04764601224633,926.7238626835336,25.366670209973773,28.21313507086609,4486.369598913931,442.3247688676383,390.8603279728011,32.571693997733426,0.5263849372525302,0.9880173544441863,0.03573154773508879,0.01590169859053126,0.030222262378026745,2.3092666666665043,27.607800000000356,0.0,0.029344866970848604,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,1,2,12,4.0,False,1.0,1.0,0.8616666666666667,234.03784526704644,954.999962008585,25.47156102362204,28.26717268503947,4409.321483735869,469.9729519781852,405.110667316822,33.759222276401836,0.5576006128924135,0.9875512455302214,0.03796500252698765,0.01734730755330683,0.028324900614383808,2.567766666666557,27.607800000000356,0.0,0.03170142738022911,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,1,2,12,8.0,False,1.0,1.0,0.04666666666666667,2415.470442584897,3816.6376892592616,28.888855511811034,30.984483937007862,7538.457906741852,807.7834068905353,37.57159685927359,3.130966404939466,0.8756897569739839,0.9868330492004446,0.06525375333787584,0.023129743404409108,0.04029634983736899,31.69210000000044,72.38000000000102,0.0,0.02359313910641403,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,1,2,12,12.0,False,1.0,1.0,0.011666666666666667,6263.707078080875,10989.937237995922,29.228915223097204,32.075443737532844,14567.50960994068,820.1806196355606,9.57015629137004,0.7975130242808367,0.8840427544431012,0.9853480175448976,0.0662552156799349,0.023129743404409108,0.03894109143476689,34.311566666667126,72.38000000000102,0.0,0.017282293790216643,decode_compute
p4tp4r1_d8tp4r2_pkv22136_dkv22136_blk16_pbt4096_ps8_dbt4096_ds32_chunked_pcie12.5_lat0.1_x1,4,4,8,4,22136,22136,16,4096,8,4096,32,True,pcie,12.5,0.1,1,1,2,12,16.0,False,1.0,1.0,0.011666666666666665,8288.303075609881,15163.95126026769,29.017495144356985,31.543283671916054,18656.032422575383,820.3180409080629,9.577970046972194,0.7981641705810162,0.8826646463277479,0.9794541418231507,0.06626631674210424,0.023129743404409108,0.03826346223346585,35.13876666666715,72.38000000000102,0.0,0.023089615062779553,decode_compute
p8tp4r2_d4tp4r1_pkv22136_dkv22136_blk16_pbt4096_ps16_dbt4096_ds16_chunked_pcie12.5_lat0.1_x1,8,4,4,4,22136,22136,16,4096,16,4096,16,True,pcie,12.5,0.1,1,2,1,12,0.5,True,1.0,1.0,1.0,202.12871771567734,219.62716409268396,25.159973490814295,29.338466404199465,3921.525400000001,62.25968992888872,62.25968992888872,5.18830749407406,0.03789818665199491,0.8265999898752151,0.005029415577068025,0.0028912179255511385,0.014907842428623058,0.009121537795241845,0.0,0.0,0.37297867404051877,decode_compute
p8tp4r2_d4tp4r1_pkv22136_dkv22136_blk16_pbt4096_ps16_dbt4096_ds16_chunked_pcie12.5_lat0.1_x1,8,4,4,4,22136,22136,16,4096,16,4096,16,True,pcie,12.5,0.1,1,2,1,12,1.0,True,1.0,1.0,1.0,202.942529347916,218.80284193161205,24.853080183727116,27.147656866141915,3645.0453181242715,123.5096314734966,123.5096314734966,10.29246928945805,0.07518172789244452,0.965816046259805,0.009977262417468364,0.0028912179255511385,0.02100650524033249,0.023577948042438946,0.20923159199907007,0.0,0.11763654980062842,decode_compute
p8tp4r2_d4tp4r1_pkv22136_dkv22136_blk16_pbt4096_ps16_dbt4096_ds16_chunked_pcie12.5_lat0.1_x1,8,4,4,4,22136,22136,16,4096,16,4096,16,True,pcie,12.5,0.1,1,2,1,12,2.0,True,1.0,1.0,0.9983333333333334,204.1753164528233,335.84773174940386,25.43176181102383,28.587460884514442,3849.8122051749815,243.01117037135302,242.60931544076507,20.21744295339709,0.14775154011016464,0.9984226094303871,0.019630746106560796,0.0043368268883267076,0.02724069389230213,0.12252402612072728,5.5418068777645475,0.0,0.01269201141535301,decode_compute
p8tp4r2_d4tp4r1_pkv22136_dkv22136_blk16_pbt4096_ps16_dbt4096_ds16_chunked_pcie12.5_lat0.1_x1,8,4,4,4,22136,22136,16,4096,16,4096,16,True,pcie,12.5,0.1,1,2,1,12,3.0,True,1.0,1.0,0.9516666666666667,208.95827421631535,1296.1734719760223,27.458190944881874,29.869916792650837,4922.298297976006,358.3645092901649,341.14266893135374,28.42855574427948,0.21764010066412806,0.9976738485042702,0.028949133016096033,0.0043368268883267076,0.027692446693169497,0.20631493366958845,6.964076410768011,0.0,0.0074351001296935155,decode_compute
p8tp4r2_d4tp4r1_pkv22136_dkv22136_blk16_pbt4096_ps16_dbt4096_ds16_chunked_pcie12.5_lat0.1_x1,8,4,4,4,22136,22136,16,4096,16,4096,16,True,pcie,12.5,0.1,1,2,1,12,3.25,True,1.0,1.0,0.915,210.30550040217744,1629.0082077983707,28.021869553805725,29.995985918635,5331.630243131687,386.46047074769507,353.7718339899075,29.480986165825627,0.23450222289893674,0.9974914770331168,0.031218759902587143,0.005782435851102277,0.02805384893386339,0.27616720545408496,10.339999999998932,0.0,0.0077546330259018565,decode_compute
